Mencion,Normalización,Categoría
Menocal,"Menocal, Juan Antonio [Sin match LC]",PER
Audiencia de México,Mexico (Viceroyalty). Audiencia de México,ORG
Ciudad de Mexico,Mexico City (Mexico),LOC
Ciudad de México,Mexico City (Mexico),LOC
Michoacán,Michoacán (Mexico),LOC
Juan de Monrroy,"Monroy, Juan de [Sin match LC]",PER
Luis de Monsalve,"Monsalve, Luis de [Sin match LC]",PER
Juan Franco de Montemayor de Cuenca,"Montemayor de Cuenca, Juan Francisco de [Sin match LC]",PER
Monterrey,"Monterrey (Nuevo León, Mexico)",LOC
Pedro de Montesinos,"Montesinos de Lara, Pedro [Sin match LC]",PER
Pedro Montesinos,"Montesinos de Lara, Pedro [Sin match LC]",PER
Luis de Morales,"Morales, Luis de [Sin match LC]",PER
Luis Morales,"Morales, Luis de [Sin match LC]",PER
Luiz de Morales,"Morales, Luis de [Sin match LC]",PER
Ruiz de Morales,"Morales, Luis de [Sin match LC]",PER
Muñoz,"Muñoz, Manuel [Sin match LC]",PER
Francisco Navarro,"Navarro, Francisco [Sin match LC]",PER
Nayarit,Nayarit (Mexico),LOC
Río Nazas,Nazas River (Mexico),LOC
Nueva Francia,"New France (Durango, Mexico)",LOC
Nuevo México,New Mexico,LOC
José de Neyra,"Neyra y Quiroga, José de [Sin match LC]",PER
Josef de Neira y Quiroga,"Neyra y Quiroga, José de [Sin match LC]",PER
Josef de Neyra,"Neyra y Quiroga, José de [Sin match LC]",PER
Mención_original,normalizacion,Categoría
Nueva Andalucía,Nueva Andalucía (Colombia) [Sin match LC],LOC
Nueva Galicia,"Guadalajara (Jalisco, Mexico)",LOC
Nueva Vizcaya,Nueva Vizcaya (Mexico),LOC
León,Nuevo León (Mexico),LOC
Nuevo León,Nuevo León (Mexico),LOC
Reino de León,Nuevo León (Mexico),LOC
Luis Oacpicagigua,"Oacpicagigua, Luis [Sin match LC]",PER
Antonio de Oca,"Oca, Antonio de [Sin match LC]",PER
Juan de Oliván,"Oliván Rebolledo, Juan de [Sin match LC]",PER
Antonio de Olmos Dávila,"Olmos Dávila, Antonio de [Sin match LC]",PER
Orden de Alcántara,Orden de Alcántara,ORG
Orden de San Tiago,Orden de Santiago,ORG
Orden de Santiago,Orden de Santiago,ORG
Juan Felipe de Orozco,"Orozco, Juan Felipe de [Sin match LC]",PER
Thomas,"Ortiz de Landazuri, Tomás [Sin match LC]",PER
Thomas Ortiz de Landazuri,"Ortiz de Landazuri, Tomás [Sin match LC]",PER
Antonio Ortiz de Otálora,"Ortiz de Otálora, Antonio [Sin match LC]",PER
Diego Ortiz Parrilla,"Ortiz Parrilla, Diego, active 18th century",PER
Parrilla,"Ortiz Parrilla, Diego, active 18th century",PER
Ostimuri,Ostimuri (Mexico) [Sin match LC],LOC
Antonio de Otermín,"Otermín, Antonio de, active 1678-1682",PER
Pedro Otero Bermúdez,"Otero Bermúdez, Pedro [Sin match LC]",PER
Francisco Pagave,"Pagave, Francisco [Sin match LC]",PER
Papaguirro,Papaguirro (Mexico) [Sin match LC],LOC
Papigoche,Papigochic (Mexico) [Sin match LC],LOC
Juan Isidro de Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Juan Isidro Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Juan Ysidro de Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Juan Ysidro Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Ysidro Pardiña,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Francisco de Pardo y Castro,"Pardo y Castro, Francisco de [Sin match LC]",PER
Jerónimo Pardo,"Pardo, Jerónimo [Sin match LC]",PER
Parras,"Parras de la Fuente (Coahuila, Mexico)",LOC
del Pasaje,"Pasaje (Durango, Mexico) [Sin match LC]",LOC
Diego Paslo,"Paslo, Diego [Sin match LC]",PER
Francisco Paulín,"Paulín, Francisco [Sin match LC]",PER
Paulín,"Paulín, Francisco [Sin match LC]",PER
Pedro de Perea,"Perea, Pedro de [Sin match LC]",PER
Pedro Perea,"Perea, Pedro de [Sin match LC]",PER
Gregorio Pertus,"Pertús, Gregorio [Sin match LC]",PER
Gregorio Pertús,"Pertús, Gregorio [Sin match LC]",PER
Perú,Peru,LOC
Audiencia de Lima,Peru. Real Audiencia de Lima,ORG
Andrés del Pez,"Pez, Andrés de [Sin match LC]",PER
Felipe V,"Philip V, King of Spain, 1683-1746",PER
Domingo Picado Pacheco,"Picado Pacheco, Domingo [Sin match LC]",PER
Domingo Picado Pacheco,"Picado Pacheco, Domingo [Sin match LC]",PER
Juan Picado Pacheco,"Picado Pacheco, Juan [Sin match LC]",PER
Pilares,"Pilares (Sonora, Mexico) [Sin match LC]",LOC
Pima,Pima Indians,ORG
Pimas,Pima Indians,ORG
Pimería,Pimería Alta (Mexico and Ariz.),LOC
Pimas Altos,Pimería Alta (Mexico and Ariz.),LOC
Pimería Alta,Pimería Alta (Mexico and Ariz.),LOC
Pineda,"Pineda, Juan Claudio de [Sin match LC]",PER
Pineda,"Pineda, Juan Claudio de [Sin match LC]",PER
Juan de Pineda,"Pineda, Juan de [Sin match LC]",PER
Pítiqui,"Pitic (Sonora, Mexico) [Sin match LC]",LOC
Cristobal Ponce,"Ponce de León, Cristóbal [Sin match LC]",PER
Pedro Porter Casanate,"Porter Casanate, Pedro de [Sin match LC]",PER
Ramón Portillo,"Portillo, Ramón [Sin match LC]",PER
Conde de la Monclova,"Portocarrero Lasso de la Vega, Melchor, Conde de la Monclova, 1636-1702",PER
conde de Monclova,"Portocarrero Lasso de la Vega, Melchor, Conde de la Monclova, 1636-1702",PER
Pedro del Pozo,"Pozo Herrera, Pedro del [Sin match LC]",PER
Presidio de San Miguel,Presidio de San Miguel (Mexico) [Sin match LC],LOC
Presidio de San Pedro,Presidio de San Pedro (Mexico) [Sin match LC],LOC
Gabriel de Prudhon,"Prudhon, Gabriel de [Sin match LC]",PER
Puebla,Puebla (Mexico),LOC
Puerto Rico,Puerto Rico,LOC
Pedro Martin de Quiroga,"Quiroga, Pedro Martín de [Sin match LC]",PER
Pedro Martín de Quiroga,"Quiroga, Pedro Martín de [Sin match LC]",PER
Diego de Quirós,"Quirós, Diego de [Sin match LC]",PER
Diego Quiros,"Quirós, Diego de [Sin match LC]",PER
Diego Quiroz,"Quirós, Diego de [Sin match LC]",PER
Don Diego,"Quirós, Diego de [Sin match LC]",PER
Diego de Quiroz,"Quiróz, Diego de [Sin match LC]",PER
Martín de Rebollar,"Rebollar, Martín de [Sin match LC]",PER
Francisco Renedo Vélez,"Renedo Vélez, Francisco [Sin match LC]",PER
Francisco Renero Velez,"Renedo Vélez, Francisco [Sin match LC]",PER
Pedro Renedos,"Renedos, Pedro [Sin match LC]",PER
Juan de Retana,"Retana, Juan de [Sin match LC]",PER
Andrés de Rezábal,"Rezaval, Andrés de [Sin match LC]",PER
Andrés de Rezaval,"Rezaval, Andrés de [Sin match LC]",PER
Andrés Rezaval,"Rezaval, Andrés de [Sin match LC]",PER
Rio de Vacas,Río de Vacas (Mexico) [Sin match LC],ORG
Río del Norte,Rio Grande,LOC
Ríos del Norte,Rio Grande,LOC
Pedro de Rivera,"Rivera, Pedro de, 1664-1744",PER
Pedro Rivera,"Rivera, Pedro de, 1664-1744",PER
Pedro Rivera,"Rivera, Pedro de, 1664-1744",PER
Joseph Rafael Rodríguez Gallardo,"Rodríguez Gallardo, Joseph Rafael [Sin match LC]",PER
Joseph Rodríguez Gallardo,"Rodríguez Gallardo, Joseph Rafael [Sin match LC]",PER
Nicolas Rodriguez,"Rodríguez, Nicolás [Sin match LC]",PER
Nicolás Rodríguez,"Rodríguez, Nicolás [Sin match LC]",PER
Nicolás Rojo de soria,"Rojo de Soria, Nicolás [Sin match LC]",PER
Pedro Romero de Terreros,"Romero de Terreros, Pedro, Conde de Regla, 1710-1781",PER
Terreros,"Romero de Terreros, Pedro, Conde de Regla, 1710-1781",PER
Rosario,"Rosario (Sinaloa, Mexico)",LOC
Antonio de Rosas,"Rosas, Antonio de [Sin match LC]",PER
Alonso Víctores Rubín de Zelis,"Rubio de Celis, Alonso Víctores [Sin match LC]",PER
Alonso Víctores Rubio de Celis,"Rubio de Celis, Alonso Víctores [Sin match LC]",PER
Celis,"Rubio de Celis, Alonso Víctores [Sin match LC]",PER
Rubio,"Rubio de Celis, Alonso Víctores [Sin match LC]",PER
Enrique Ruhen,"Ruhen, Enrique [Sin match LC]",PER
Santiago Ruiz de Ael,"Ruiz de Ael, Santiago [Sin match LC]",PER
Presidio del Sacramento,"Sacramento (Chihuahua, Mexico) [Sin match LC]",LOC
Juan Sarz Moreno,"Sáenz Moreno, Juan [Sin match LC]",PER
Juan Bautista Saenz Navarrete,"Sáenz Navarrete, Juan Bautista [Sin match LC]",PER
Felipe de Salas,"Salas, Felipe de [Sin match LC]",PER
Monsieur de Salas,"Salas, Monsieur de [Sin match LC]",PER
Juan de Salazar,"Salazar, Juan de [Sin match LC]",PER
García de Salcedo,"Salcedo, García de [Sin match LC]",PER
García de Salzedo,"Salcedo, García de [Sin match LC]",PER
García Salcedo,"Salcedo, García de [Sin match LC]",PER
Saltillo,"Saltillo (Coahuila, Mexico)",LOC
San Andrés,"San Andrés (Chihuahua, Mexico) [Sin match LC]",LOC
San Antonio de Valero ,San Antonio de Valero (TX),
San Antonio de Metopore,San Antonio de Metopore (Mexico) [Sin match LC],LOC
San Diego de Minas Nuevas,San Diego de Minas Nuevas (Mexico) [Sin match LC],LOC
San Eliceario,San Elizario (Tex.),LOC
San Felipe de Jesús de Quevabi,"San Felipe de Jesús de Quevabi (Sonora, Mexico) [Sin match LC]",LOC
Presidio de Conchos,"San Francisco de Conchos (Chihuahua, Mexico)",LOC
San Francisco de Conchas,"San Francisco de Conchos (Chihuahua, Mexico)",LOC
San Francisco de Conchos,"San Francisco de Conchos (Chihuahua, Mexico)",LOC
San Francisco,"San Francisco del Oro (Chihuahua, Mexico)",LOC
San Francisco del Oro,"San Francisco del Oro (Chihuahua, Mexico)",LOC
San Francisco Javier,"San Francisco Javier (Chihuahua, Mexico) [Sin match LC]",LOC
San Hipólito,"San Hipólito (Durango, Mexico) [Sin match LC]",LOC
San Ildefonso,"San Ildefonso (Sonora, Mexico) [Sin match LC]",LOC
San Juan Bautista,"San Juan Bautista (Coahuila, Mexico) [Sin match LC]",LOC
Manuel Antonio de San Juan,"San Juan de Santa Cruz, Manuel de [Sin match LC]",PER
Manuel de San Juan,"San Juan de Santa Cruz, Manuel de [Sin match LC]",PER
Manuel San Juan de Santa Cruz,"San Juan de Santa Cruz, Manuel de [Sin match LC]",PER
Manuel Señor Juan de Santa Cruz,"San Juan de Santa Cruz, Manuel de [Sin match LC]",PER
San Juan,"San Juan de Santa Cruz, Manuel de [Sin match LC]",PER
San Juan de Ulúa,"San Juan de Ulúa (Veracruz, Mexico)",LOC
San Juan del Río,"San Juan del Río (Durango, Mexico)",LOC
San Lorenzo,San Lorenzo de El Escorial (Spain),LOC
San Luis Potosí,"San Luis Potosí (San Luis Potosí, Mexico)",LOC
Marquesa San Miguel de Aguayo,"San Miguel de Aguayo, Ignacia Xaviera Echeverz de Valdes, Marquesa de [Sin match LC]",PER
Marqués San Miguel de Aguayo,"San Miguel de Aguayo, José de Azlor y Virto de Vera, Marqués de, 1678-1734",PER
San Miguel de Cerro Gordo,"San Miguel de Cerro Gordo (Durango, Mexico) [Sin match LC]",LOC
San Miguel de Horcasitas,"San Miguel de Horcasitas (Sonora, Mexico)",LOC
San Sabá,San Sabá (Tex.) [Sin match LC],LOC
San Sebastián,"San Sebastián (Sinaloa, Mexico) [Sin match LC]",LOC
San Xavier,San Xavier (Ariz.) [Sin match LC],LOC
Andrés Sánchez de Ocampo,"Sánchez de Ocampo, Andrés [Sin match LC]",PER
Diego Manuel Sánchez Duran,"Sánchez Durán, Diego Manuel [Sin match LC]",PER
Manuel Sánchez Duran,"Sánchez Durán, Diego Manuel [Sin match LC]",PER
Nombre de Diego,"Sánchez Durán, Diego Manuel [Sin match LC]",PER
Juan Clemente Sánchez Duran,"Sánchez Durán, Juan Clemente [Sin match LC]",PER
Juan Sancher Rico,"Sánchez Rico, Juan [Sin match LC]",PER
Juan Sánchez Rico,"Sánchez Rico, Juan [Sin match LC]",PER
Sánchez Salvador,"Sánchez Salvador, Fernando [Sin match LC]",PER
Santa Ana,"Santa Ana (Sonora, Mexico)",LOC
Santa Anna,"Santa Ana (Sonora, Mexico)",LOC
Santa Bárbara,"Santa Bárbara (Chihuahua, Mexico)",LOC
Catarina de Tepehuanes,"Santa Catarina (Durango, Mexico)",LOC
Santa Catalina,"Santa Catarina (Durango, Mexico)",LOC
Santa Catarina,"Santa Catarina (Durango, Mexico)",LOC
Santa Eulalia,"Santa Eulalia (Chihuahua, Mexico)",LOC
Santo Domingo,Santo Domingo (Dominican Republic),LOC
Josef Sarmiento,"Sarmiento de Valladares, José, Conde de Moctezuma, -1708",PER
Joseph Sarmiento,"Sarmiento de Valladares, José, Conde de Moctezuma, -1708",PER
Sarmiento,"Sarmiento de Valladares, José, Conde de Moctezuma, -1708",PER
Manuel Sariñona,"Sarriñana, Manuel [Sin match LC]",PER
Manuel Sarriñana,"Sarriñana, Manuel [Sin match LC]",PER
Juan de Saylises,"Saylises, Juan de [Sin match LC]",PER
Jacobo Sedelmayr,"Sedelmayr, Jacobo, 1703-1779",PER
seris,Seri Indians,MISC
Toburones,Seri Indians,MISC
Zeris,Seri Indians,MISC
Francisco de la Serna,"Serna, Francisco de la [Sin match LC]",PER
Antonio Serrano,"Serrano, Antonio [Sin match LC]",PER
Sevilla,Seville (Spain),LOC
Sierra Azul,Sierra Azul (Mexico) [Sin match LC],LOC
Mojada,"Sierra Mojada (Coahuila, Mexico)",LOC
Lope de Sierra,"Sierra, Lope de [Sin match LC]",PER
Carlos de Sigüenza,"Sigüenza y Góngora, Carlos de, 1645-1700",PER
Sinaloa,Sinaloa (Mexico),LOC
Santa María Soamca,"Soamca (Sonora, Mexico) [Sin match LC]",LOC
Sobaípuri,Sobaipuri Indians,MISC
Solís Miranda,"Solís Miranda, Martín de [Sin match LC]",PER
Sombrerete,"Sombrerete (Zacatecas, Mexico)",LOC
Sonora,Sonora (Mexico),LOC
Fernando de Sosa,"Sosa, Fernando de [Sin match LC]",PER
Bernabé de Soto,"Soto, Bernabé de [Sin match LC]",PER
España,Madrid (Spain),LOC
Cámara de Indias,Spain. Cámara de Indias [Sin match LC],ORG
Consejo,Spain. Consejo de Indias,ORG
Consejo de Indias,Spain. Consejo de Indias,ORG
Consejo de las Indias,Spain. Consejo de Indias,ORG
Consejo Real de las Indias,Spain. Consejo de Indias,ORG
Consejo Real de las Yndias,Spain. Consejo de Indias,ORG
Real consejo,Spain. Consejo de Indias,ORG
Sala de Justicia,Spain. Consejo de Indias. Sala de Justicia [Sin match LC],ORG
Guerra de Indias,Spain. Junta de Guerra de Indias,ORG
Gobierno de Guerra,Spain. Junta de Guerra de Indias [Sin match LC],ORG
Hacienda Real,Spain. Real Hacienda [Sin match LC],ORG
Real Hacienda,Spain. Real Hacienda [Sin match LC],ORG
Secretaría de Cámara,Spain. Secretaría de Cámara [Sin match LC],ORG
Gonzalo Suárez de San Martín,"Suárez de San Martín, Gonzalo [Sin match LC]",PER
Tampico,"Tampico (Tamaulipas, Mexico)",LOC
Tarahumara,Tarahumara Indians,MISC
Tarahumaras,Tarahumara Indians,MISC
Tarazona,Tarazona (Spain),LOC
Tecoripa,"Tecoripa (Sonora, Mexico) [Sin match LC]",LOC
Tomás Tello,"Tello, Tomás [Sin match LC]",PER
Tepehuanes,Tepehuan Indians,MISC
Tepehuana,"Tepehuanes (Durango, Mexico)",LOC
Tepocas,Tepoca Indians [Sin match LC],MISC
Domingo de Terán,"Terán, Domingo de [Sin match LC]",PER
Antonio de Terrazas,"Terrazas, Antonio de [Sin match LC]",PER
Terrenate,"Terrenate (Sonora, Mexico)",LOC
Teuricachi,"Teuricachi (Sonora, Mexico) [Sin match LC]",LOC
Thearicache,"Teuricachi (Sonora, Mexico) [Sin match LC]",LOC
Texas,Houston (Texas),LOC
Tiburón,"Tiburón Island (Sonora, Mexico)",LOC
Tienda de Cuervo,"Tienda de Cuervo, Joseph [Sin match LC]",PER
Tienda de Cuervo,"Tienda de Cuervo, Joseph [Sin match LC]",PER
los Robosos,toboso Indians,MISC
Tobosos,Toboso Indians,MISC
Marques de Mancera,"Toledo Molina y Salazar, Antonio Sebastián de, Marqués de Mancera, 1608-1715",PER
Marqués de Mancera,"Toledo Molina y Salazar, Antonio Sebastián de, Marqués de Mancera, 1608-1715",PER
Topia,"Topia (Durango, Mexico)",LOC
Ignacio Trillo,"Trillo, Ignacio [Sin match LC]",PER
Tubutama,"Tubutama (Sonora, Mexico)",LOC
Tubutama,"Tubutama (Sonora, Mexico)",LOC
Tucsón,Tucson (Ariz.),LOC
Conde de San Pedro del Álamo,"Urdiñola, Francisco de [Sin match LC]",PER
Bernardo de Urrea,"Urrea, Bernardo de [Sin match LC]",PER
Fernando de Urrutia,"Urrutia, Fernando de [Sin match LC]",PER
Julian de Valdes,"Valdez, Julián de [Sin match LC]",PER
Julián Valdez,"Valdez, Julián de [Sin match LC]",PER
Luis de Valdez,"Valdez, Luis de [Sin match LC]",PER
Luis de Valdos,"Valdez, Luis de [Sin match LC]",PER
Luiz de Valdez,"Valdez, Luis de [Sin match LC]",PER
Francisco de Valdivieso,"Valdivieso y Echevers, Joseph Francisco de [Sin match LC]",PER
Joseph Francisco de Valdivieso y Echevers,"Valdivieso y Echevers, Joseph Francisco de [Sin match LC]",PER
Marques de Valero,"Valero, Baltasar de Zúñiga, Marqués de, 1658-1727",PER
Marqués de Valero,"Valero, Baltasar de Zúñiga, Marqués de, 1658-1727",PER
Valladolid,Valladolid (Spain),LOC
San Bartholomé,"Valle de Allende (Chihuahua, Mexico)",LOC
San Bartolomé,"Valle de Allende (Chihuahua, Mexico)",LOC
Valparaíso,"Valparaíso (Zacatecas, Mexico)",LOC
Antonio Valverde,"Valverde, Antonio [Sin match LC]",PER
Fernando de la Vega y Ulloa,"Vega y Ulloa, Fernando de la [Sin match LC]",PER
Josef de Vieira Linage,"Veitia Linage, Joseph de [Sin match LC]",PER
Pedro Velásquez de la Cadena,"Velázquez de la Cadena, Pedro [Sin match LC]",PER
Pedro Velázquez de la Cadena,"Velázquez de la Cadena, Pedro [Sin match LC]",PER
Marqués de los Vélez,"Vélez, Pedro Fajardo, Marqués de los [Sin match LC]",PER
Veracruz,"Veracruz (Veracruz, Mexico)",LOC
Lázaro Verdugo,"Verdugo, Lázaro [Sin match LC]",PER
Juan Joseph de Vertiz y Ontañón,"Vértiz y Ontañón, Juan Joseph de [Sin match LC]",PER
Juan Joseph Vertiz y Ontañón,"Vértiz y Ontañón, Juan Joseph de [Sin match LC]",PER
Vertiz,"Vértiz y Ontañón, Juan Joseph de [Sin match LC]",PER
Fermín de Vidaurri,"Vidaurri, Fermín de [Sin match LC]",PER
Agustín de Vildosola,"Vildosola, Agustín de [Sin match LC]",PER
Agustín de Vildósola,"Vildosola, Agustín de [Sin match LC]",PER
Agustín de Vildósola,"Vildosola, Agustín de [Sin match LC]",PER
Vildosola,"Vildosola, Agustín de [Sin match LC]",PER
Vildósola,"Vildosola, Agustín de [Sin match LC]",PER
Gabriel de Vildósola,"Vildósola, Gabriel de [Sin match LC]",PER
Villa de Aguilar,Villa de Aguilar (Mexico) [Sin match LC],LOC
Villa de Aguilar,Villa de Aguilar (Mexico) [Sin match LC],LOC
Alonso de Villalva,"Villalva, Alonso de [Sin match LC]",PER
Villalva,"Villalva, Alonso de [Sin match LC]",PER
Gonzalo Villamayor Carbajal,"Villamayor Carbajal, Gonzalo [Sin match LC]",PER
Yaqui,Yaqui Indians,MISC
Yaquis,Yaqui Indians,MISC
Guaimas,yaqui Indians [Sin match LC],MISC
río Yaqui,Yaqui River (Mexico),LOC
Nicolás de la Yguer,"Yguer, Nicolás de la [Sin match LC]",PER
Yucatán,Yucatan (Mexico),LOC
Zacatecas,"Zacatecas (Zacatecas, Mexico)",LOC
Antonio Zerratos,"Zerratos, Antonio [Sin match LC]",PER
Zimapán,"Zimapán (Hidalgo, Mexico)",LOC